Frame,Chamber_1,Chamber_2,Chamber_3
0,100.0,1.0,1.0
1,99.67521284512642,1.0,1.0
2,98.51603817132913,1.0,1.0
3,96.23417354959852,1.0,1.0
4,92.54558005640833,1.0,1.0
5,87.20285174874003,1.0,1.0
6,80.03811125484047,1.0,1.0
7,71.01500644863395,1.0,1.0
8,60.28564405932099,1.0,1.0
9,48.24476364096966,1.0,1.0
10,35.56950513703506,1.0,1.0
11,23.229534187185607,1.0,1.0
12,12.450305208742193,1.0,1.0
13,4.613516032447588,1.0,1.0
14,1.0851469445537762,1.0,1.0
15,2.9743214302895784,1.0,1.0
16,10.845845109102603,1.0,1.0
17,24.43378850859027,1.0,1.0
18,42.42795063867712,1.0,1.0
19,62.421183839443685,1.0,1.0
20,81.10259408388417,1.0,1.0
21,94.74891566723153,1.0,1.0
22,99.99798412335055,1.0,1.0
23,94.78889180699608,1.0,1.0
24,79.2436850071215,1.0,1.0
25,56.18332397464431,1.0,1.0
26,30.96548098058804,1.0,1.0
27,10.448407733001485,1.0,1.0
28,1.138809760508655,1.0,1.0
29,6.931405422076153,1.0,1.0
30,27.181868779025603,1.0,1.0
31,56.00577460574592,1.0,1.0
32,83.4978344517907,1.0,1.0
33,98.94660446805347,1.0,1.0
34,95.19990494270313,1.0,1.0
35,72.46754952695849,1.0,1.0
36,39.534995104238405,1.0,1.0
37,11.033807301261115,1.0,1.0
38,1.113350544330938,1.0,1.0
39,15.999260471945023,1.0,1.0
40,49.36092349969431,1.0,1.0
41,83.92844684053176,1.0,1.0
42,99.94122827161463,1.0,1.0
43,86.78027935343846,1.0,1.0
44,50.96906588449851,1.0,1.0
45,14.311027713644263,1.0,1.0
46,1.2220856427105893,1.0,1.0
47,21.97495650429128,1.0,1.0
48,63.41579471283501,1.0,1.0
49,95.84917764782845,1.0,1.0
50,93.9834932214376,1.0,1.0
51,57.68926994630148,1.0,1.0
52,15.082172415390582,1.0,1.0
53,1.8530020271720997,1.0,1.0
54,30.80141752172271,1.0,1.0
55,77.73317194653504,1.0,1.0
56,99.99024341131708,1.0,1.0
57,75.37884941540834,1.0,1.0
58,26.163817566834176,1.0,1.0
59,1.0,1.0,1.0
