Frame,Chamber_1,Chamber_2,Chamber_3
0,1.0,1.0,1.0
1,2.835167117862942,3.1399733206666673,1.1077240948914338
2,4.670334235725884,5.279946641333335,1.2154481897828675
3,6.5055013535888255,7.419919962000002,1.323172284674301
4,8.340668471451767,9.55989328266667,1.4308963795657348
5,10.175835589314708,11.699866603333337,1.5386204744571685
6,12.011002707177651,13.839839924000003,1.6463445693486023
7,13.846169825040594,15.979813244666671,1.754068664240036
8,15.681336942903535,18.11978656533334,1.8617927591314696
9,17.516504060766476,20.259759886000005,1.9695168540229036
10,19.351671178629417,22.399733206666674,2.077240948914337
11,21.18683829649236,24.53970652733334,2.1849650438057706
12,23.022005414355302,26.679679848000006,2.2926891386972046
13,24.857172532218243,28.819653168666676,2.4004132335886386
14,26.692339650081188,30.959626489333342,2.508137328480072
15,28.52750676794413,33.09959981000001,2.6158614233715056
16,30.36267388580707,35.23957313066668,2.723585518262939
17,32.19784100367001,37.37954645133335,2.831309613154373
18,34.03300812153295,39.51951977200001,2.939033708045807
19,35.868175239395896,41.65949309266668,3.0467578029372406
20,37.70334235725883,43.79946641333335,3.154481897828674
21,39.53850947512178,45.93943973400001,3.262205992720108
22,41.37367659298472,48.07941305466668,3.3699300876115417
23,43.20884371084766,50.21938637533335,3.477654182502975
24,45.044010828710604,52.35935969600001,3.585378277394409
25,46.87917794657355,54.49933301666668,3.6931023722858427
26,48.714345064436486,56.63930633733335,3.8008264671772767
27,50.54951218229943,58.77927965800002,3.90855056206871
28,52.384679300162375,60.919252978666684,4.016274656960144
29,54.21984641802531,63.05922629933335,4.123998751851578
30,54.21984641802531,63.05922629933335,4.123998751851578
31,52.38467930016237,60.919252978666684,4.016274656960144
32,50.54951218229943,58.77927965800002,3.90855056206871
33,48.714345064436486,56.63930633733335,3.8008264671772767
34,46.87917794657355,54.49933301666668,3.6931023722858427
35,45.044010828710604,52.35935969600001,3.585378277394409
36,43.20884371084766,50.21938637533335,3.4776541825029756
37,41.37367659298472,48.07941305466668,3.3699300876115417
38,39.53850947512178,45.93943973400002,3.262205992720108
39,37.70334235725883,43.79946641333335,3.154481897828674
40,35.868175239395896,41.65949309266668,3.0467578029372406
41,34.03300812153295,39.51951977200001,2.939033708045807
42,32.19784100367001,37.37954645133335,2.831309613154373
43,30.36267388580707,35.23957313066668,2.723585518262939
44,28.527506767944125,33.099599810000015,2.6158614233715056
45,26.692339650081184,30.959626489333345,2.508137328480072
46,24.857172532218243,28.819653168666676,2.4004132335886386
47,23.022005414355302,26.679679848000006,2.2926891386972046
48,21.18683829649236,24.539706527333344,2.1849650438057706
49,19.351671178629417,22.399733206666674,2.077240948914337
50,17.51650406076648,20.259759886000005,1.9695168540229036
51,15.681336942903535,18.119786565333342,1.8617927591314696
52,13.84616982504059,15.979813244666673,1.754068664240036
53,12.011002707177653,13.839839924000003,1.6463445693486025
54,10.175835589314708,11.69986660333334,1.5386204744571685
55,8.340668471451764,9.559893282666671,1.430896379565735
56,6.505501353588826,7.419919962000002,1.323172284674301
57,4.670334235725882,5.279946641333332,1.2154481897828675
58,2.8351671178629374,3.1399733206666696,1.107724094891434
59,1.0,1.0,1.0
