Time [s],P1 [kPa],P2 [kPa],P3 [kPa]
0.0,90.0,23.24999994956093,23.249999218175176
0.01,89.9779356861426,24.474468476723782,22.047594906587133
0.02,89.91133881058444,25.725840114244527,20.862820047752255
0.03,89.79963556018484,27.003155879555166,19.69720743750399
0.04,89.64229658051221,28.305401612826156,18.552300590229382
0.05,89.43883906464393,29.63150790730963,17.429651719725364
0.06,89.18882883249215,30.980350132557003,16.330819636655473
0.07,88.89188239626068,32.35074855402544,15.257367563486227
0.08,88.54766900748285,33.741468552528985,14.210860867998017
0.09,88.15591268093694,35.151220946920674,13.192864716687168
0.1,87.71639419058899,36.57866242331043,12.204941649605303
0.11,87.22895303256776,38.02239607403151,11.248649078417591
0.12,86.69348935003927,39.4809720494639,10.325536709704577
0.13,86.1099658147164,40.95288832570606,9.437143895780718
0.14,85.47840945961275,42.436591590957555,8.584996915557635
0.15,84.79891345753202,43.930478253333256,7.770606188240196
0.16,84.07163883967421,45.43289557267467,6.995463422908966
0.17,83.29681614863712,46.9421429187557,6.261038707312513
0.18,82.47474702000011,48.456473158098845,5.568777539467341
0.19,81.6058056865941,49.9740941714218,4.920097805940973
0.2,80.69044039948992,51.49317050352593,4.316386710974856
0.21,79.72917475967716,53.01182514721457,3.7589976608870446
0.22,78.72260895435679,54.52814146259216,3.2492471084801746
0.23,77.67142089173568,56.04016523284395,2.788411362466844
0.24,76.57636722818957,57.54590685733121,2.3777233672113454
0.25,75.43828428165281,59.04334368255691,2.018369458373888
0.26,74.25808882510121,60.53042247126415,1.711486100329068
0.27,73.0367787540169,62.005062009622726,1.458156611514191
0.28,71.77543362176407,63.46515585213775,1.2594078841445784
0.29,70.47521503686099,64.9085752035808,1.1162071050102556
0.3,69.13736691620751,66.33317193689626,1.029458484341729
0.31,67.76321558842079,67.73678174567534,1.0
0.32,66.3541697415434,69.11722742941751,1.0286001645068732
0.33,64.9117202095191,70.47232230941388,1.1159548226852969
0.34,63.43743959198404,71.79987377269129,1.262683987924049
0.35000000000000003,61.93298170209287,73.09768694104713,1.4693287253164304
0.36,60.400080837293245,74.36356846178828,1.7363480901466615
0.37,58.84055086817796,75.59533041635824,2.0641161304102162
0.38,57.25628414078146,76.79079434260109,2.45291896225323
0.39,55.64925018794784,77.94779536596468,2.9029519274011237
0.4,54.02149424568094,79.06418643449307,3.414316841815706
0.41000000000000003,52.37513557069354,80.13784265199989,3.9870193449724503
0.42,50.712365555702945,81.16666570334877,4.620966359284369
0.43,49.03544563937359,82.14858836529851,5.315963669313862
0.44,47.3467050081856,83.08157909589846,6.0717136305087145
0.45,45.64853808790853,83.96364669494494,6.887813017271796
0.46,43.94340182278551,84.79284502753431,7.763751020223489
0.47000000000000003,42.2338127409819,85.56727780227385,8.69890740254225
0.48,40.52234380532436,86.28510339523817,9.692550825268745
0.49,38.81162104885249,86.9445397102902,10.743837351433314
0.5,37.10431999522399,87.54386906592012,11.851809138811626
0.51,35.40316186455485,88.08144309829817,13.015393331031607
0.52,33.710909565839785,88.555687669787,14.23340115664065
0.53,32.03036347768253,88.96510777171854,15.504527245598371
0.54,30.364357019670685,89.30829240981186,16.827349172483714
0.55,28.715752017354973,89.58391946019351,18.200327235495564
0.56,27.087433864436488,89.79076048358067,19.621804480082247
0.5700000000000001,25.482306486427778,89.92768548480531,21.09000697575621
0.58,23.90328711073153,89.99366760449313,22.603044354336593
0.59,22.353300848775284,89.98778772936829,24.158910617509754
0.6,20.835275096548624,89.90923900733486,25.755485221210762
0.61,19.352133760609753,89.75733125319135,27.390534443902332
0.62,17.906791317361037,89.53149523056719,29.061713045363007
0.63,16.502146714133836,89.23128679543116,30.766566222094003
0.64,15.141077121372064,88.85639088631532,32.502531864911944
0.65,13.826431545958393,88.4066253462238,34.26694312371403
0.66,12.561024316485048,87.88194456105809,36.05703128378217
0.67,11.347628452030676,87.28244289928944,37.86992895733408
0.68,10.1889689267634,86.60835793754812,39.70267359333107
0.6900000000000001,9.087715843445451,85.86007345677987,41.55221130781745
0.7000000000000001,8.046477529664678,85.03812219364387,43.41540103629124
0.71,7.0677935713593785,84.14318833189641,45.289019008796146
0.72,6.154127798933065,83.1761097186212,47.16976354757684
0.73,5.307861241972901,82.13787979033366,49.05426018625653
0.74,4.531285069284599,81.02964919420401,50.93906710857959
0.75,3.826593531637219,79.85272708991293,52.82068090381146
0.76,3.1958769252688137,78.60858211797839,54.69554263490671
0.77,2.6411145948350763,77.29884302077097,56.560044214545535
0.78,2.1641679950863812,75.9252989028721,58.41053508309904
0.79,1.7667738311284382,74.48989911792349,60.243329181519826
0.8,1.4505372976569464,72.99475276966997,62.05471221106482
0.81,1.2169254380526084,71.44212781551266,63.84094917064801
0.8200000000000001,1.0672606446763013,69.83444976156173,65.59829216149294
0.8300000000000001,1.0027143221127446,68.17429993891731,67.32298844760886
0.84,1.0243007354696478,66.46441335170223,69.01128875945955
0.85,1.1328710661464552,64.70767608823132,70.65945582702585
0.86,1.3291076977374658,62.907122287625214,72.26377312728958
0.87,1.6135187549261385,61.06593065515734,73.82055382999285
0.88,1.9864329183568492,59.18742052067162,75.32614992434951
0.89,2.4479945385341875,57.275047435511205,76.7769615082177
0.9,2.9981590717951367,55.33239830456609,78.16944622008087
0.91,3.636688861322541,53.36318605127094,79.50012879303735
0.92,4.36314928601691,51.37124381466582,80.76561070886854
0.93,5.176905299814347,49.360518678969434,81.96257992914852
0.9400000000000001,6.07711838372881,47.33506493750476,83.0878206792769
0.9500000000000001,7.062743932504587,45.29903689425836,84.13822326026808
0.96,8.132529097286989,43.256681207844146,85.11079386211722
0.97,9.285011105154455,41.212328784178744,86.00266435159389
0.98,10.518516075700113,39.17038622575332,86.81110200638932
0.99,11.831158354105726,37.13532684700408,87.53351916667275
1.0,13.220840379312072,35.111681266936294,88.16748277429784
1.01,14.685253104957578,33.104027591840456,88.71072376914866
1.02,16.221876989730312,31.11698120264908,89.16114631143164
